Name,Descripción,Etiquetas,Fecha,URL
Web personal,"Diseñé mi propia web personal basada en Notion y modificada a través de Super. El diseño en Notion es realmente sencillo, y a través de Super puedo mejorar la apariencia y la experiencia de usuario","Diseño Web, Integración Notion/Super",30/04/2024,https://juan-carlos-pascual-garcia.super.site/
Ponencia sobre Consolas de iluminación / AR,"En esta ponencia de febrero del 2024, formando parte del equipo técnico/comercial de Stonex, hablo sobre las características técnicas de las consolas de iluminación Apex y, en especial, de sus capacidades de Realidad Aumentada","Consolas de iluminación, Digitalización, Iluminación Escénica, Realidad Aumentada",06/02/2024,https://www.youtube.com/watch?v=Un2vh04AX4M&t=2s
